Offer Title,Coupon Code,Description,Eligible Credit Cards,Eligible Debit Cards
Get 10% OFF up to ?300,AXISCC10,"Applicable only on select Axis Bank Credit Cards. Get 10% off on final bill (max ?300). Minimum cart ?1499. Valid Sept 11  Oct 22. Not valid on Axis NEO Card. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",Airtel Axis Bank Credit Card,
Get 10% OFF up to ?300,AXISCC10,"Applicable only on select Axis Bank Credit Cards. Get 10% off on final bill (max ?300). Minimum cart ?1499. Valid Sept 11  Oct 22. Not valid on Axis NEO Card. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",Airtel Axis Bank RuPay Credit Card,
Get 10% OFF up to ?300,AXISCC10,"Applicable only on select Axis Bank Credit Cards. Get 10% off on final bill (max ?300). Minimum cart ?1499. Valid Sept 11  Oct 22. Not valid on Axis NEO Card. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",Axis Bank Ace Credit Card,
Get 10% OFF up to ?300,AXISCC10,"Applicable only on select Axis Bank Credit Cards. Get 10% off on final bill (max ?300). Minimum cart ?1499. Valid Sept 11  Oct 22. Not valid on Axis NEO Card. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",Axis Bank Atlas Credit Card,
Get 10% OFF up to ?300,AXISCC10,"Applicable only on select Axis Bank Credit Cards. Get 10% off on final bill (max ?300). Minimum cart ?1499. Valid Sept 11  Oct 22. Not valid on Axis NEO Card. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",Axis Bank Aura Credit Card,
Get 10% OFF up to ?300,AXISCC10,"Applicable only on select Axis Bank Credit Cards. Get 10% off on final bill (max ?300). Minimum cart ?1499. Valid Sept 11  Oct 22. Not valid on Axis NEO Card. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",Axis Bank Freecharge Credit Card,
Get 10% OFF up to ?300,AXISCC10,"Applicable only on select Axis Bank Credit Cards. Get 10% off on final bill (max ?300). Minimum cart ?1499. Valid Sept 11  Oct 22. Not valid on Axis NEO Card. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",Axis Bank Freecharge Plus Credit Card,
Get 10% OFF up to ?300,AXISCC10,"Applicable only on select Axis Bank Credit Cards. Get 10% off on final bill (max ?300). Minimum cart ?1499. Valid Sept 11  Oct 22. Not valid on Axis NEO Card. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",Axis Bank Horizon Credit Card,
Get 10% OFF up to ?300,AXISCC10,"Applicable only on select Axis Bank Credit Cards. Get 10% off on final bill (max ?300). Minimum cart ?1499. Valid Sept 11  Oct 22. Not valid on Axis NEO Card. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",Axis Bank MY Zone Credit Card,
Get 10% OFF up to ?300,AXISCC10,"Applicable only on select Axis Bank Credit Cards. Get 10% off on final bill (max ?300). Minimum cart ?1499. Valid Sept 11  Oct 22. Not valid on Axis NEO Card. Excludes Gold/Silver coins, Milk, Tobacco, Cigarettes, and Baby needs.",Axis Bank Magnus Credit Card,
