Offer Title,Coupon Code,Description,Eligible Credit Cards,Eligible Debit Cards
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",IRCTC RBL Bank Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",IndianOil RBL Bank Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",IndianOil RBL Bank RuPay Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",IndianOil RBL Bank XTRA RuPay Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",Indianoil RBL Bank Xtra Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Bankbazaar Savemax Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Bankbazaar Savemax Pro Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Binge Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Binge MasterCard Credit Card,
Get 7.5% discount using RBL Bank Credit Cards,RBLCCFEST,"Pay using RBL Bank Credit Cards and get 7.5% discount up to ??1000 on orders above ??999. Exclusions: tobacco, infant food, ghee, milk, butter & probiotic drinks. Applicable once per user during the offer period. Valid on payments made using RBL Bank Credit Cards.",RBL Bank Cookie Credit Card,
