Offer,Terms and Conditions,Link,Eligible Credit Cards,Eligible Debit Cards
"BOBCARD: Up to 7.5% Instant Discount with BOBCARD transactions

"," Up to 7.5% Instant Discount with BOBCARD transactions as below:

Transaction
Type

Instant
Discount

Applicable
on

Credit Card
Full Swipe

Flat 1000

Fridays
Saturdays
Sundays

Credit Card
EMI

7.5%
Up to 1500

All days



 Offer applicable on a minimum purchase of Rs. 15000.

 The Offer will be made available only on Fridays Saturdays & Sundays for Full Swipe transactions & All days for EMI transactions from 14 Nov 2025 (00:00:01) to 27 Nov 2025 (23:59:59) (?Offer Period?).

 Offer valid only once per card during offer period

 Instant discount is NOT applicable on Brand subvented transactions (No Cost EMI transactions

 Offer cannot be clubbed with any other cashback / discount offer ? In case of availability of any such offer above discount offer would not be applicable.

 Offer is NOT applicable on Corporate and Commercial Cards.

 Offer is NOT applicable on Debit Card transactions

 Offer NOT applicable on select products please check product page for eligibility

",https://www.reliancedigital.in/page/multibank-offer-tc-nov-2025,Bank of Baroda Premier Credit Card,
"BOBCARD: Up to 7.5% Instant Discount with BOBCARD transactions

"," Up to 7.5% Instant Discount with BOBCARD transactions as below:

Transaction
Type

Instant
Discount

Applicable
on

Credit Card
Full Swipe

Flat 1000

Fridays
Saturdays
Sundays

Credit Card
EMI

7.5%
Up to 1500

All days



 Offer applicable on a minimum purchase of Rs. 15000.

 The Offer will be made available only on Fridays Saturdays & Sundays for Full Swipe transactions & All days for EMI transactions from 14 Nov 2025 (00:00:01) to 27 Nov 2025 (23:59:59) (?Offer Period?).

 Offer valid only once per card during offer period

 Instant discount is NOT applicable on Brand subvented transactions (No Cost EMI transactions

 Offer cannot be clubbed with any other cashback / discount offer ? In case of availability of any such offer above discount offer would not be applicable.

 Offer is NOT applicable on Corporate and Commercial Cards.

 Offer is NOT applicable on Debit Card transactions

 Offer NOT applicable on select products please check product page for eligibility

",https://www.reliancedigital.in/page/multibank-offer-tc-nov-2025,BOB Assure Credit Card,
"BOBCARD: Up to 7.5% Instant Discount with BOBCARD transactions

"," Up to 7.5% Instant Discount with BOBCARD transactions as below:

Transaction
Type

Instant
Discount

Applicable
on

Credit Card
Full Swipe

Flat 1000

Fridays
Saturdays
Sundays

Credit Card
EMI

7.5%
Up to 1500

All days



 Offer applicable on a minimum purchase of Rs. 15000.

 The Offer will be made available only on Fridays Saturdays & Sundays for Full Swipe transactions & All days for EMI transactions from 14 Nov 2025 (00:00:01) to 27 Nov 2025 (23:59:59) (?Offer Period?).

 Offer valid only once per card during offer period

 Instant discount is NOT applicable on Brand subvented transactions (No Cost EMI transactions

 Offer cannot be clubbed with any other cashback / discount offer ? In case of availability of any such offer above discount offer would not be applicable.

 Offer is NOT applicable on Corporate and Commercial Cards.

 Offer is NOT applicable on Debit Card transactions

 Offer NOT applicable on select products please check product page for eligibility

",https://www.reliancedigital.in/page/multibank-offer-tc-nov-2025,Eterna Bobcard,
"BOBCARD: Up to 7.5% Instant Discount with BOBCARD transactions

"," Up to 7.5% Instant Discount with BOBCARD transactions as below:

Transaction
Type

Instant
Discount

Applicable
on

Credit Card
Full Swipe

Flat 1000

Fridays
Saturdays
Sundays

Credit Card
EMI

7.5%
Up to 1500

All days



 Offer applicable on a minimum purchase of Rs. 15000.

 The Offer will be made available only on Fridays Saturdays & Sundays for Full Swipe transactions & All days for EMI transactions from 14 Nov 2025 (00:00:01) to 27 Nov 2025 (23:59:59) (?Offer Period?).

 Offer valid only once per card during offer period

 Instant discount is NOT applicable on Brand subvented transactions (No Cost EMI transactions

 Offer cannot be clubbed with any other cashback / discount offer ? In case of availability of any such offer above discount offer would not be applicable.

 Offer is NOT applicable on Corporate and Commercial Cards.

 Offer is NOT applicable on Debit Card transactions

 Offer NOT applicable on select products please check product page for eligibility

",https://www.reliancedigital.in/page/multibank-offer-tc-nov-2025,Indian Navy Varunah Premium Bobcard,
"BOBCARD: Up to 7.5% Instant Discount with BOBCARD transactions

"," Up to 7.5% Instant Discount with BOBCARD transactions as below:

Transaction
Type

Instant
Discount

Applicable
on

Credit Card
Full Swipe

Flat 1000

Fridays
Saturdays
Sundays

Credit Card
EMI

7.5%
Up to 1500

All days



 Offer applicable on a minimum purchase of Rs. 15000.

 The Offer will be made available only on Fridays Saturdays & Sundays for Full Swipe transactions & All days for EMI transactions from 14 Nov 2025 (00:00:01) to 27 Nov 2025 (23:59:59) (?Offer Period?).

 Offer valid only once per card during offer period

 Instant discount is NOT applicable on Brand subvented transactions (No Cost EMI transactions

 Offer cannot be clubbed with any other cashback / discount offer ? In case of availability of any such offer above discount offer would not be applicable.

 Offer is NOT applicable on Corporate and Commercial Cards.

 Offer is NOT applicable on Debit Card transactions

 Offer NOT applicable on select products please check product page for eligibility

",https://www.reliancedigital.in/page/multibank-offer-tc-nov-2025,CMA One Bobcard,
"BOBCARD: Up to 7.5% Instant Discount with BOBCARD transactions

"," Up to 7.5% Instant Discount with BOBCARD transactions as below:

Transaction
Type

Instant
Discount

Applicable
on

Credit Card
Full Swipe

Flat 1000

Fridays
Saturdays
Sundays

Credit Card
EMI

7.5%
Up to 1500

All days



 Offer applicable on a minimum purchase of Rs. 15000.

 The Offer will be made available only on Fridays Saturdays & Sundays for Full Swipe transactions & All days for EMI transactions from 14 Nov 2025 (00:00:01) to 27 Nov 2025 (23:59:59) (?Offer Period?).

 Offer valid only once per card during offer period

 Instant discount is NOT applicable on Brand subvented transactions (No Cost EMI transactions

 Offer cannot be clubbed with any other cashback / discount offer ? In case of availability of any such offer above discount offer would not be applicable.

 Offer is NOT applicable on Corporate and Commercial Cards.

 Offer is NOT applicable on Debit Card transactions

 Offer NOT applicable on select products please check product page for eligibility

",https://www.reliancedigital.in/page/multibank-offer-tc-nov-2025,Bank of Baroda ETERNA Credit card,
"BOBCARD: Up to 7.5% Instant Discount with BOBCARD transactions

"," Up to 7.5% Instant Discount with BOBCARD transactions as below:

Transaction
Type

Instant
Discount

Applicable
on

Credit Card
Full Swipe

Flat 1000

Fridays
Saturdays
Sundays

Credit Card
EMI

7.5%
Up to 1500

All days



 Offer applicable on a minimum purchase of Rs. 15000.

 The Offer will be made available only on Fridays Saturdays & Sundays for Full Swipe transactions & All days for EMI transactions from 14 Nov 2025 (00:00:01) to 27 Nov 2025 (23:59:59) (?Offer Period?).

 Offer valid only once per card during offer period

 Instant discount is NOT applicable on Brand subvented transactions (No Cost EMI transactions

 Offer cannot be clubbed with any other cashback / discount offer ? In case of availability of any such offer above discount offer would not be applicable.

 Offer is NOT applicable on Corporate and Commercial Cards.

 Offer is NOT applicable on Debit Card transactions

 Offer NOT applicable on select products please check product page for eligibility

",https://www.reliancedigital.in/page/multibank-offer-tc-nov-2025,ICSI Diamond Bobcard,
"BOBCARD: Up to 7.5% Instant Discount with BOBCARD transactions

"," Up to 7.5% Instant Discount with BOBCARD transactions as below:

Transaction
Type

Instant
Discount

Applicable
on

Credit Card
Full Swipe

Flat 1000

Fridays
Saturdays
Sundays

Credit Card
EMI

7.5%
Up to 1500

All days



 Offer applicable on a minimum purchase of Rs. 15000.

 The Offer will be made available only on Fridays Saturdays & Sundays for Full Swipe transactions & All days for EMI transactions from 14 Nov 2025 (00:00:01) to 27 Nov 2025 (23:59:59) (?Offer Period?).

 Offer valid only once per card during offer period

 Instant discount is NOT applicable on Brand subvented transactions (No Cost EMI transactions

 Offer cannot be clubbed with any other cashback / discount offer ? In case of availability of any such offer above discount offer would not be applicable.

 Offer is NOT applicable on Corporate and Commercial Cards.

 Offer is NOT applicable on Debit Card transactions

 Offer NOT applicable on select products please check product page for eligibility

",https://www.reliancedigital.in/page/multibank-offer-tc-nov-2025,Bank of Baroda EASY Credit Card,
"BOBCARD: Up to 7.5% Instant Discount with BOBCARD transactions

"," Up to 7.5% Instant Discount with BOBCARD transactions as below:

Transaction
Type

Instant
Discount

Applicable
on

Credit Card
Full Swipe

Flat 1000

Fridays
Saturdays
Sundays

Credit Card
EMI

7.5%
Up to 1500

All days



 Offer applicable on a minimum purchase of Rs. 15000.

 The Offer will be made available only on Fridays Saturdays & Sundays for Full Swipe transactions & All days for EMI transactions from 14 Nov 2025 (00:00:01) to 27 Nov 2025 (23:59:59) (?Offer Period?).

 Offer valid only once per card during offer period

 Instant discount is NOT applicable on Brand subvented transactions (No Cost EMI transactions

 Offer cannot be clubbed with any other cashback / discount offer ? In case of availability of any such offer above discount offer would not be applicable.

 Offer is NOT applicable on Corporate and Commercial Cards.

 Offer is NOT applicable on Debit Card transactions

 Offer NOT applicable on select products please check product page for eligibility

",https://www.reliancedigital.in/page/multibank-offer-tc-nov-2025,ICAI Exclusive Bobcard,
"BOBCARD: Up to 7.5% Instant Discount with BOBCARD transactions

"," Up to 7.5% Instant Discount with BOBCARD transactions as below:

Transaction
Type

Instant
Discount

Applicable
on

Credit Card
Full Swipe

Flat 1000

Fridays
Saturdays
Sundays

Credit Card
EMI

7.5%
Up to 1500

All days



 Offer applicable on a minimum purchase of Rs. 15000.

 The Offer will be made available only on Fridays Saturdays & Sundays for Full Swipe transactions & All days for EMI transactions from 14 Nov 2025 (00:00:01) to 27 Nov 2025 (23:59:59) (?Offer Period?).

 Offer valid only once per card during offer period

 Instant discount is NOT applicable on Brand subvented transactions (No Cost EMI transactions

 Offer cannot be clubbed with any other cashback / discount offer ? In case of availability of any such offer above discount offer would not be applicable.

 Offer is NOT applicable on Corporate and Commercial Cards.

 Offer is NOT applicable on Debit Card transactions

 Offer NOT applicable on select products please check product page for eligibility

",https://www.reliancedigital.in/page/multibank-offer-tc-nov-2025,Assam Rifles The Sentinel Bobcard,
